sample_id,sample,era,location,K1,K2,K3,K4,prop_sum,max_prop,dominant_cluster,entropy,effective_clusters,admixedness,individual_key,extraction_individual_ids,extraction_ids,n_extractions,library_individual_ids,library_extraction_ids,library_ids,sequence_ids,novogene_seq_ids,full_seq_names,full_seq_decodes,n_library_rows,n_library_extractions,decode_seq_names,decode_sequence_ids,n_decode_entries,conflict_flag,missing_extraction,missing_library,missing_decode
OchACan011,OchACan011.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,9.93e-5,0.0143213,9.93e-5,0.98548,0.9999999,0.98548,K4,0.07705298445055041,1.080099303344645,0.01451999999999997,OchACan011,Och-ACan_011,Och-ACan_011-Ex1,1,Och-ACan_011,Och-ACan_011-Ex1,1,Och-ACan_011-Ex1-11A-lcwgs-1-1,OcA0501111A,OchACan011,Och-ACan_011-Ex1-11A-lcwgs-1-2,1,1,OcA0501111A;OchACan011,Och-ACan_011-Ex1-11A-lcwgs-1-1;Och-ACan_011-Ex1-11A-lcwgs-1-2,2,NA,FALSE,FALSE,FALSE
OchACan012,OchACan012.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,9.93e-5,0.0194678,9.93e-5,0.9803336,1,0.9803336,K4,0.09798584159415524,1.1029471690243142,0.01966639999999997,OchACan012,Och-ACan_012,Och-ACan_012-Ex1,1,Och-ACan_012,Och-ACan_012-Ex1,1,Och-ACan_012-Ex1-12A-lcwgs-1-1,OcA0501212A,OchACan012,Och-ACan_012-Ex1-12A-lcwgs-1-2,1,1,OcA0501212A;OchACan012,Och-ACan_012-Ex1-12A-lcwgs-1-1;Och-ACan_012-Ex1-12A-lcwgs-1-2,2,NA,FALSE,FALSE,FALSE
OchACan013,OchACan013.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,9.89e-5,0.0225786,9.89e-5,0.9772235,0.9999999,0.9772235,K4,0.10992900612975884,1.1161988243714107,0.02277649999999997,OchACan013,Och-ACan_013,Och-ACan_013-Ex1,1,Och-ACan_013,Och-ACan_013-Ex1,1,Och-ACan_013-Ex1-1B-lcwgs-1-1,OcA0501301B,OchACan013,Och-ACan_013-Ex1-1B-lcwgs-1-2,1,1,OcA0501301B;OchACan013,Och-ACan_013-Ex1-1B-lcwgs-1-1;Och-ACan_013-Ex1-1B-lcwgs-1-2,2,NA,FALSE,FALSE,FALSE
OchACan014,OchACan014.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,9.87e-5,0.0195314,9.87e-5,0.9802712,1,0.9802712,K4,0.09822395193496183,1.1032098234197452,0.01972879999999999,OchACan014,Och-ACan_014,Och-ACan_014-Ex1,1,Och-ACan_014,Och-ACan_014-Ex1,1,Och-ACan_014-Ex1-2B-lcwgs-1-1,OcA0501402B,OchACan014,Och-ACan_014-Ex1-2B-lcwgs-1-2,1,1,OcA0501402B;OchACan014,Och-ACan_014-Ex1-2B-lcwgs-1-1;Och-ACan_014-Ex1-2B-lcwgs-1-2,2,NA,FALSE,FALSE,FALSE
OchACan015,OchACan015.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.0091085,1.005e-4,0.0213651,0.9694259,1,0.9694259,K4,0.15599383060651095,1.1688189921633454,0.03057410000000005,OchACan015,Och-ACan_015,Och-ACan_015-Ex1,1,Och-ACan_015,Och-ACan_015-Ex1,1,Och-ACan_015-Ex1-3B-lcwgs-1-1,OcA0501503B,OchACan015,Och-ACan_015-Ex1-3B-lcwgs-1-2,1,1,OcA0501503B;OchACan015,Och-ACan_015-Ex1-3B-lcwgs-1-1;Och-ACan_015-Ex1-3B-lcwgs-1-2,2,NA,FALSE,FALSE,FALSE
OchACan016,OchACan016.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,9.88e-5,0.0163994,9.88e-5,0.9834028,0.9999998,0.9834028,K4,0.08569095328025242,1.089469579272478,0.01659719999999998,OchACan016,Och-ACan_016,Och-ACan_016-Ex1,1,Och-ACan_016,Och-ACan_016-Ex1,1,Och-ACan_016-Ex1-4B-lcwgs-1-1,OcA0501604B,OchACan016,Och-ACan_016-Ex1-4B-lcwgs-1-2,1,1,OcA0501604B;OchACan016,Och-ACan_016-Ex1-4B-lcwgs-1-1;Och-ACan_016-Ex1-4B-lcwgs-1-2,2,NA,FALSE,FALSE,FALSE
OchACan017,OchACan017.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,9.9e-5,0.0149539,9.9e-5,0.9848481,1,0.9848481,K4,0.07971016197946147,1.082973135392542,0.01515189999999999,OchACan017,Och-ACan_017,Och-ACan_017-Ex1,1,Och-ACan_017,Och-ACan_017-Ex1,1,Och-ACan_017-Ex1-5B-lcwgs-1-1,OcA0501705B,OchACan017,Och-ACan_017-Ex1-5B-lcwgs-1-2,1,1,OcA0501705B;OchACan017,Och-ACan_017-Ex1-5B-lcwgs-1-1;Och-ACan_017-Ex1-5B-lcwgs-1-2,2,NA,FALSE,FALSE,FALSE
OchACan018,OchACan018.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,9.9e-5,0.0164214,9.9e-5,0.9833807,1.0000001,0.9833807,K4,0.08578438819800491,1.0895713785287398,0.0166193,OchACan018,Och-ACan_018,Och-ACan_018-Ex1,1,Och-ACan_018,Och-ACan_018-Ex1,1,Och-ACan_018-Ex1-6B-lcwgs-1-1,OcA0501806B,OchACan018,Och-ACan_018-Ex1-6B-lcwgs-1-2,1,1,OcA0501806B;OchACan018,Och-ACan_018-Ex1-6B-lcwgs-1-1;Och-ACan_018-Ex1-6B-lcwgs-1-2,2,NA,FALSE,FALSE,FALSE
OchACan019,OchACan019.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,9.86e-5,0.0167363,9.86e-5,0.9830666,1.0000001,0.9830666,K4,0.08706267354362425,1.0909650522214749,0.01693339999999998,OchACan019,Och-ACan_019,Och-ACan_019-Ex1,1,Och-ACan_019,Och-ACan_019-Ex1,1,Och-ACan_019-Ex1-7B-lcwgs-1-1,OcA0501907B,OchACan019,Och-ACan_019-Ex1-7B-lcwgs-1-2,1,1,OcA0501907B;OchACan019,Och-ACan_019-Ex1-7B-lcwgs-1-1;Och-ACan_019-Ex1-7B-lcwgs-1-2,2,NA,FALSE,FALSE,FALSE
OchACan020,OchACan020.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,9.93e-5,0.0152109,9.93e-5,0.9845904,0.9999999,0.9845904,K4,0.08078974445017333,1.0841429255346138,0.01540960000000002,OchACan020,Och-ACan_020,Och-ACan_020-Ex1,1,Och-ACan_020,Och-ACan_020-Ex1,1,Och-ACan_020-Ex1-8B-lcwgs-1-1,OcA0502008B,OchACan020,Och-ACan_020-Ex1-8B-lcwgs-1-2,1,1,OcA0502008B;OchACan020,Och-ACan_020-Ex1-8B-lcwgs-1-1;Och-ACan_020-Ex1-8B-lcwgs-1-2,2,NA,FALSE,FALSE,FALSE
OchACan021,OchACan021.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,9.93e-5,0.0140758,9.93e-5,0.9857255,0.9999999,0.9857255,K4,0.07601203351984522,1.0789755579529523,0.01427449999999996,OchACan021,Och-ACan_021,Och-ACan_021-Ex1,1,Och-ACan_021,Och-ACan_021-Ex1,1,Och-ACan_021-Ex1-9B-lcwgs-1-1,OcA0502109B,OchACan021,Och-ACan_021-Ex1-9B-lcwgs-1-2,1,1,OcA0502109B;OchACan021,Och-ACan_021-Ex1-9B-lcwgs-1-1;Och-ACan_021-Ex1-9B-lcwgs-1-2,2,NA,FALSE,FALSE,FALSE
OchACan022,OchACan022.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.029173,0.1075534,0.8631737,1e-4,1.0000001,0.8631737,K3,0.4708592547225493,1.6013695866059428,0.13682629999999996,OchACan022,Och-ACan_022,Och-ACan_022-Ex1,1,Och-ACan_022,Och-ACan_022-Ex1,1,Och-ACan_022-Ex1-10B-lcwgs-1-1,OcA0502210B,OchACan022,Och-ACan_022-Ex1-10B-lcwgs-1-2,1,1,OcA0502210B;OchACan022,Och-ACan_022-Ex1-10B-lcwgs-1-1;Och-ACan_022-Ex1-10B-lcwgs-1-2,2,NA,FALSE,FALSE,FALSE
OchACan023,OchACan023.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.0916811,0.0409812,0.8609269,0.0064108,1,0.8609269,K3,0.5112798120667255,1.667423819099764,0.13907309999999995,OchACan023,Och-ACan_023,Och-ACan_023-Ex1,1,Och-ACan_023,Och-ACan_023-Ex1,1,Och-ACan_023-Ex1-11B-lcwgs-1-1,OcA0502311B,OchACan023,Och-ACan_023-Ex1-11B-lcwgs-1-2,1,1,OcA0502311B;OchACan023,Och-ACan_023-Ex1-11B-lcwgs-1-1;Och-ACan_023-Ex1-11B-lcwgs-1-2,2,NA,FALSE,FALSE,FALSE
OchACan024,OchACan024.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.1073342,1.002e-4,0.8290882,0.0634773,0.9999999,0.8290882,K3,0.5708784947842792,1.769821147348262,0.17091179999999995,OchACan024,Och-ACan_024,Och-ACan_024-Ex1,1,Och-ACan_024,Och-ACan_024-Ex1,1,Och-ACan_024-Ex1-12B-lcwgs-1-1,OcA0502412B,OchACan024,Och-ACan_024-Ex1-12B-lcwgs-1-2,1,1,OcA0502412B;OchACan024,Och-ACan_024-Ex1-12B-lcwgs-1-1;Och-ACan_024-Ex1-12B-lcwgs-1-2,2,NA,FALSE,FALSE,FALSE
OchACat001,OchACat001.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,0.0479999,0.0135923,0.9383077,1e-4,0.9999999,0.9383077,K3,0.26484750699791365,1.303232226830157,0.06169230000000003,OchACat001,Och-ACat_001,Och-ACat_001-Ex1,1,Och-ACat_001,Och-ACat_001-Ex1,1;2,N/A;Och-ACat_001-Ex1-1A-lcwgs-2-1,N/A;OcA0100101A,NA;OchACat001,NA;Och-ACat_001-Ex1-1A-lcwgs-2-2,2,1,OcA0100101A;OchACat001,Och-ACat_001-Ex1-1A-lcwgs-2-1;Och-ACat_001-Ex1-1A-lcwgs-2-2,3,NA,FALSE,FALSE,FALSE
OchACat002,OchACat002.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,9.97e-5,0.071094,0.9287066,9.97e-5,1,0.9287066,K3,0.25848145098222536,1.2949621293545384,0.07129339999999995,OchACat002,Och-ACat_002,Och-ACat_002-Ex1,1,Och-ACat_002,Och-ACat_002-Ex1,1;2,N/A;Och-ACat_002-Ex1-2A-lcwgs-2-1,N/A;OcA0100202A,NA;OchACat002,NA;Och-ACat_002-Ex1-2A-lcwgs-2-2,2,1,OcA0100202A;OchACat002,Och-ACat_002-Ex1-2A-lcwgs-2-1;Och-ACat_002-Ex1-2A-lcwgs-2-2,3,NA,FALSE,FALSE,FALSE
OchACat003,OchACat003.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1e-4,0.0687472,0.9310529,1e-4,1.0000001,0.9310529,K3,0.2524139296529284,1.2871287077724625,0.06894710000000004,OchACat003,Och-ACat_003,Och-ACat_003-Ex1,1,Och-ACat_003,Och-ACat_003-Ex1,1;2,N/A;Och-ACat_003-Ex1-3A-lcwgs-2-1,N/A;OcA0100303A,NA;OchACat003,NA;Och-ACat_003-Ex1-3A-lcwgs-2-2,2,1,OcA0100303A;OchACat003,Och-ACat_003-Ex1-3A-lcwgs-2-1;Och-ACat_003-Ex1-3A-lcwgs-2-2,3,NA,FALSE,FALSE,FALSE
OchACat004,OchACat004.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,0.0605035,0.0152767,0.9172292,0.0069906,1,0.9172292,K3,0.34753632465485945,1.4155757299806015,0.08277080000000003,OchACat004,Och-ACat_004,Och-ACat_004-Ex1,1,Och-ACat_004,Och-ACat_004-Ex1,1;2,N/A;Och-ACat_004-Ex1-4A-lcwgs-2-1,N/A;OcA0100404A,NA;OchACat004,NA;Och-ACat_004-Ex1-4A-lcwgs-2-2,2,1,OcA0100404A;OchACat004,Och-ACat_004-Ex1-4A-lcwgs-2-1;Och-ACat_004-Ex1-4A-lcwgs-2-2,3,NA,FALSE,FALSE,FALSE
OchACat005,OchACat005.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,9.85e-5,0.113733,0.88607,9.85e-5,1,0.88607,K3,0.35624020339760426,1.4279505056354973,0.11392999999999998,OchACat005,Och-ACat_005,Och-ACat_005-Ex1,1,Och-ACat_005,Och-ACat_005-Ex1,1;2,N/A;Och-ACat_005-Ex1-5A-lcwgs-2-1,N/A;OcA0100505A,NA;OchACat005,NA;Och-ACat_005-Ex1-5A-lcwgs-2-2,2,1,OcA0100505A;OchACat005,Och-ACat_005-Ex1-5A-lcwgs-2-1;Och-ACat_005-Ex1-5A-lcwgs-2-2,3,NA,FALSE,FALSE,FALSE
OchACat006,OchACat006.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,9.93e-5,0.0854243,0.9143772,9.93e-5,1.0000001,0.9143772,K3,0.2938328214471336,1.3415596049251888,0.0856228,OchACat006,Och-ACat_006,Och-ACat_006-Ex1,1,Och-ACat_006,Och-ACat_006-Ex1,1;2,N/A;Och-ACat_006-Ex1-6A-lcwgs-2-1,N/A;OcA0100606A,NA;OchACat006,NA;Och-ACat_006-Ex1-6A-lcwgs-2-2,2,1,OcA0100606A;OchACat006,Och-ACat_006-Ex1-6A-lcwgs-2-1;Och-ACat_006-Ex1-6A-lcwgs-2-2,3,NA,FALSE,FALSE,FALSE
OchACat007,OchACat007.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,0.0411924,1e-4,0.80507,0.1536377,1.0000000999999998,0.80507,K3,0.594652096858638,1.812400295507842,0.19493000000000005,OchACat007,Och-ACat_007,Och-ACat_007-Ex1,1,Och-ACat_007,Och-ACat_007-Ex1,1;2,Och-ACat_007-Ex1-4A-lcwgs-1-1;Och-ACat_007-Ex1-7A-lcwgs-2-1,OcA0100704A;OcA0100707A,NA;OchACat007,NA;Och-ACat_007-Ex1-7A-lcwgs-2-2,2,1,OcA0100707A;OcA0100704A;OchACat007,Och-ACat_007-Ex1-7A-lcwgs-2-1;Och-ACat_007-Ex1-4A-lcwgs-1-1;Och-ACat_007-Ex1-7A-lcwgs-2-2,5,NA,FALSE,FALSE,FALSE
OchACat008,OchACat008.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,9.87e-5,0.0990658,0.9007369,9.87e-5,1.0000000999999998,0.9007369,K3,0.3250228638804766,1.3840622906537756,0.09926310000000003,OchACat008,Och-ACat_008,Och-ACat_008-Ex1,1,Och-ACat_008,Och-ACat_008-Ex1,1;2,N/A;Och-ACat_008-Ex1-8A-lcwgs-2-1,N/A;OcA0100808A,NA;OchACat008,NA;Och-ACat_008-Ex1-8A-lcwgs-2-2,2,1,OcA0100808A;OchACat008,Och-ACat_008-Ex1-8A-lcwgs-2-1;Och-ACat_008-Ex1-8A-lcwgs-2-2,3,NA,FALSE,FALSE,FALSE
OchACat009,OchACat009.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,0.0956427,0.0115177,0.8895792,0.0032604,1,0.8895792,K3,0.3986554357051936,1.489820191314517,0.1104208,OchACat009,Och-ACat_009,Och-ACat_009-Ex1,1,Och-ACat_009,Och-ACat_009-Ex1,1;2,Och-ACat_009-Ex1-4C-lcwgs-1-1;Och-ACat_009-Ex1-9A-lcwgs-2-1,OcA0100904C;OcA0100909A,NA;OchACat009,NA;Och-ACat_009-Ex1-9A-lcwgs-2-2,2,1,OcA0100909A;OcA0100904C;OchACat009,Och-ACat_009-Ex1-9A-lcwgs-2-1;Och-ACat_009-Ex1-4C-lcwgs-1-1;Och-ACat_009-Ex1-9A-lcwgs-2-2,5,NA,FALSE,FALSE,FALSE
OchACat010,OchACat010.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,0.0893216,0.0045858,0.8962187,0.0098738,0.9999999,0.8962187,K3,0.38424630389118986,1.468507096153732,0.10378129999999997,OchACat010,Och-ACat_010,Och-ACat_010-Ex1,1,Och-ACat_010,Och-ACat_010-Ex1,1;2,N/A;Och-ACat_010-Ex1-10A-lcwgs-2-1,N/A;OcA0101010A,NA;OchACat010,NA;Och-ACat_010-Ex1-10A-lcwgs-2-2,2,1,OcA0101010A;OchACat010,Och-ACat_010-Ex1-10A-lcwgs-2-1;Och-ACat_010-Ex1-10A-lcwgs-2-2,3,NA,FALSE,FALSE,FALSE
OchACat011,OchACat011.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,9.98e-5,0.0696268,0.9255515,0.0047218,0.9999999,0.9255515,K3,0.283341026910049,1.327557817569311,0.07444850000000003,OchACat011,Och-ACat_011,Och-ACat_011-Ex1,1,Och-ACat_011,Och-ACat_011-Ex1,1;2,N/A;Och-ACat_011-Ex1-11A-lcwgs-2-1,N/A;OcA0101111A,NA;OchACat011,NA;Och-ACat_011-Ex1-11A-lcwgs-2-2,2,1,OcA0101111A;OchACat011,Och-ACat_011-Ex1-11A-lcwgs-2-1;Och-ACat_011-Ex1-11A-lcwgs-2-2,3,NA,FALSE,FALSE,FALSE
OchACat012,OchACat012.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,0.0791474,0.038106,0.8585436,0.0242031,1.0000001,0.8585436,K3,0.5462693855358605,1.7267989653650804,0.14145640000000004,OchACat012,Och-ACat_012,Och-ACat_012-Ex1,1,Och-ACat_012,Och-ACat_012-Ex1,1;2,N/A;Och-ACat_012-Ex1-12A-lcwgs-2-1,N/A;OcA0101212A,NA;OchACat012,NA;Och-ACat_012-Ex1-12A-lcwgs-2-2,2,1,OcA0101212A;OchACat012,Och-ACat_012-Ex1-12A-lcwgs-2-1;Och-ACat_012-Ex1-12A-lcwgs-2-2,3,NA,FALSE,FALSE,FALSE
OchACat013,OchACat013.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,9.93e-5,0.0773305,0.9224708,9.93e-5,0.9999999,0.9224708,K3,0.2742138694531828,1.3154961165904984,0.07752919999999996,OchACat013,Och-ACat_013,Och-ACat_013-Ex1,1,Och-ACat_013,Och-ACat_013-Ex1,1;2,N/A;Och-ACat_013-Ex1-1B-lcwgs-2-1,N/A;OcA0101301B,NA;OchACat013,NA;Och-ACat_013-Ex1-1B-lcwgs-2-2,2,1,OcA0101301B;OchACat013,Och-ACat_013-Ex1-1B-lcwgs-2-1;Och-ACat_013-Ex1-1B-lcwgs-2-2,3,NA,FALSE,FALSE,FALSE
OchACat014,OchACat014.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,0.0430473,0.027247,0.9296057,9.99e-5,0.9999999,0.9296057,K3,0.30234575177296474,1.3530289580064634,0.07039430000000002,OchACat014,Och-ACat_014,Och-ACat_014-Ex1,1,Och-ACat_014,Och-ACat_014-Ex1,1;2,N/A;Och-ACat_014-Ex1-2B-lcwgs-2-1,N/A;OcA0101402B,NA;OchACat014,NA;Och-ACat_014-Ex1-2B-lcwgs-2-2,2,1,OcA0101402B;OchACat014,Och-ACat_014-Ex1-2B-lcwgs-2-1;Och-ACat_014-Ex1-2B-lcwgs-2-2,3,NA,FALSE,FALSE,FALSE
OchACat015,OchACat015.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,9.86e-5,0.1068075,0.8929952,9.86e-5,0.9999999,0.8929952,K3,0.3417821965740371,1.407453715886846,0.1070048,OchACat015,Och-ACat_015,Och-ACat_015-Ex1,1,Och-ACat_015,Och-ACat_015-Ex1,2;1,Och-ACat_015-Ex1-3B-lcwgs-2-1;Och-ACat_015-Ex1-5A-lcwgs-1-1,OcA0101503B;OcA0101505A,OchACat015;NA,Och-ACat_015-Ex1-3B-lcwgs-2-2;NA,2,1,OcA0101503B;OcA0101505A;OchACat015,Och-ACat_015-Ex1-3B-lcwgs-2-1;Och-ACat_015-Ex1-5A-lcwgs-1-1;Och-ACat_015-Ex1-3B-lcwgs-2-2,5,NA,FALSE,FALSE,FALSE
OchACat016,OchACat016.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,9.99e-5,0.0748253,0.9249749,9.99e-5,1,0.9249749,K3,0.26797000869973264,1.307307931562265,0.07502509999999996,OchACat016,Och-ACat_016,Och-ACat_016-Ex1,1,Och-ACat_016,Och-ACat_016-Ex1,1;2,N/A;Och-ACat_016-Ex1-4B-lcwgs-2-1,N/A;OcA0101604B,NA;OchACat016,NA;Och-ACat_016-Ex1-4B-lcwgs-2-2,2,1,OcA0101604B;OchACat016,Och-ACat_016-Ex1-4B-lcwgs-2-1;Och-ACat_016-Ex1-4B-lcwgs-2-2,3,NA,FALSE,FALSE,FALSE
